,STORY_ID,Character development,Character vulnerability,Optimism,Vivid emotions,Cognition,Evaluations,Bodily sensation,Temporal,Plot,Emotion shift,Resolution,Vivid setting
0,1357,0.5,0.125,0.25,0.75,1.0,1.0,0.41666666666666663,0.41666666666666663,0.25,0.875,0.25,0.75
1,433,0.625,0.25,0.75,0.5,0.5,0.75,0.16666666666666666,0.29166666666666663,0.625,0.75,1.0,0.5
2,1958,0.875,0.25,0.625,0.25,1.0,1.0,0.16666666666666666,0.125,0.875,0.875,0.875,0.0
3,1600,0.25,0.0,0.625,0.0,0.25,0.5,0.16666666666666666,0.41666666666666663,0.375,0.375,0.625,0.75
4,227,0.875,0.5,1.0,1.0,1.0,0.75,0.16666666666666666,0.41666666666666663,0.75,1.0,1.0,0.0
5,243,0.25,0.125,0.5,0.25,0.0,0.75,0.16666666666666666,0.5416666666666666,0.75,0.375,0.5,0.5
6,260,0.875,0.75,1.0,0.5,1.0,1.0,0.16666666666666666,0.0,1.0,1.0,1.0,0.75
7,362,0.625,0.75,0.375,0.75,0.5,0.75,0.6666666666666666,0.0,0.5,0.625,0.375,0.25
8,1791,0.125,0.125,0.5,0.25,0.75,1.0,0.3333333333333333,0.6666666666666666,0.125,0.25,0.0,1.0
9,273,0.625,0.25,0.375,1.0,0.75,0.5,0.41666666666666663,0.41666666666666663,1.0,0.875,0.875,0.75
10,77,0.0,0.0,0.875,0.25,0.25,1.0,0.16666666666666666,0.25,0.0,0.0,0.5,0.0
11,374,0.5,0.5,0.625,0.75,0.5,0.5,0.8333333333333333,0.0,0.5,0.625,0.375,0.0
12,92,0.5,0.5,0.875,1.0,1.0,1.0,0.41666666666666663,0.41666666666666663,0.625,0.75,0.625,0.5
13,1536,0.125,0.0,0.375,0.0,0.75,0.75,0.5833333333333333,0.5416666666666666,0.875,0.875,1.0,0.0
14,329,0.375,0.625,0.5,0.5,0.25,0.5,0.41666666666666663,0.5416666666666666,0.75,0.875,0.5,0.0
15,622,0.625,0.5,1.0,1.0,0.5,1.0,0.6666666666666666,0.5,0.375,0.875,0.625,0.75
16,793,0.125,0.625,0.75,0.5,0.75,1.0,1.0,0.29166666666666663,0.5,0.5,0.625,0.5
17,1388,0.125,0.75,0.125,1.0,1.0,0.75,0.5,0.0,0.375,0.5,0.0,0.5
18,99,1.0,1.0,1.0,1.0,1.0,0.75,0.16666666666666666,1.0,0.25,0.625,0.625,0.0
19,1704,0.375,0.375,0.875,0.25,0.75,1.0,0.16666666666666666,0.875,0.25,0.5,0.375,0.0
20,1575,0.375,0.75,0.0,0.5,1.0,1.0,0.5,0.41666666666666663,0.5,0.5,0.625,0.0
21,587,0.375,0.75,0.125,0.5,1.0,0.75,0.3333333333333333,0.29166666666666663,0.5,0.75,0.0,0.0
22,432,0.75,0.5,0.625,0.5,0.25,0.75,1.0,0.41666666666666663,0.875,0.875,0.75,0.25
23,470,0.75,0.875,0.625,0.75,0.75,0.5,0.41666666666666663,0.41666666666666663,0.5,0.625,0.625,0.25
24,1535,0.375,0.125,1.0,0.0,0.5,1.0,0.16666666666666666,0.16666666666666666,0.625,0.125,1.0,0.25
25,452,0.25,0.375,0.875,0.5,0.0,0.75,0.3333333333333333,0.29166666666666663,0.5,0.5,0.875,0.0
26,346,0.375,0.375,0.0,0.75,0.5,0.75,0.5833333333333333,0.29166666666666663,0.75,0.875,0.25,0.0
27,1309,0.0,0.25,0.125,0.75,0.75,1.0,0.5,0.125,0.75,0.875,0.125,1.0
28,370,0.125,0.125,0.75,0.75,0.0,0.5,1.0,0.41666666666666663,0.5,0.5,1.0,0.75
29,1774,0.625,0.375,0.75,1.0,1.0,0.0,0.16666666666666666,0.0,0.25,0.625,0.5,0.5
30,637,0.75,0.5,0.5,1.0,0.25,0.25,1.0,0.29166666666666663,1.0,0.875,0.75,0.0
31,1271,0.375,0.375,0.625,0.5,0.75,0.25,0.16666666666666666,0.0,0.375,0.5,0.5,0.75
32,203,0.0,0.0,0.625,0.25,0.75,0.0,0.3333333333333333,0.41666666666666663,0.875,0.5,1.0,1.0
33,378,0.75,0.375,0.375,1.0,1.0,1.0,0.0,0.4583333333333333,1.0,0.875,1.0,0.25
34,941,0.875,0.5,0.875,0.5,0.75,0.5,0.16666666666666666,0.3333333333333333,0.75,0.125,0.875,0.5
35,1841,0.375,0.25,0.5,0.75,0.75,0.5,0.75,0.16666666666666666,0.75,0.75,0.75,0.75
36,340,0.625,0.375,0.625,0.75,0.25,0.25,0.75,0.29166666666666663,0.5,0.625,1.0,1.0
37,1140,0.625,0.25,0.75,0.25,0.75,1.0,0.16666666666666666,0.16666666666666666,0.875,0.25,1.0,0.25
38,1738,0.5,0.5,0.0,1.0,0.5,1.0,0.16666666666666666,0.41666666666666663,0.625,0.125,0.25,0.0
39,367,0.125,0.125,1.0,0.75,0.25,0.75,0.75,0.16666666666666666,0.5,0.375,0.875,1.0
40,175,0.375,0.125,0.5,0.75,0.5,0.75,1.0,0.41666666666666663,0.625,0.5,0.875,1.0
41,406,0.875,0.5,0.125,1.0,1.0,1.0,0.3333333333333333,0.25,0.875,0.75,0.25,0.75
42,379,0.875,0.375,1.0,0.25,1.0,1.0,0.16666666666666666,0.4583333333333333,0.5,0.25,0.875,0.0
43,507,1.0,0.5,1.0,0.5,1.0,1.0,0.16666666666666666,0.125,1.0,0.5,0.875,0.0
44,215,0.75,0.5,0.875,1.0,0.25,0.5,0.5833333333333333,0.29166666666666663,0.875,0.375,0.875,1.0
45,1694,0.0,0.125,0.625,0.0,0.0,0.25,0.3333333333333333,0.16666666666666666,0.5,0.125,0.25,1.0
46,315,0.875,0.5,0.375,1.0,0.75,1.0,0.16666666666666666,0.41666666666666663,0.75,0.75,0.875,0.25
47,1537,0.625,0.5,0.75,1.0,0.75,0.5,0.5,0.0,0.75,0.75,0.625,0.75
48,223,0.5,0.375,0.375,0.75,1.0,0.75,0.16666666666666666,0.25,0.5,0.75,0.5,0.75
49,14,0.625,0.5,1.0,1.0,1.0,1.0,0.5,0.29166666666666663,0.5,0.75,1.0,1.0
