,story_id,story,gpt_response_content,measurement
0,0,"June of this year my friends and I decided to road trip from Munich Germany to Croatia. My friends and I had tickets to ultra music fest and decided that a road trip would be the most fun way to go. The ride should have lasted about 9/10 hours give or take. We left the hotel in Germany at around 6 in the morning, we didnt want to drive too late at night because we would have been tired. 

We were on the road for about 5 hours when the car we were in experienced a flat tire. Luckily for my friends and I we all know how to change a tire so we got out the car and went to change the tire but there was no extra tire. We were stuck with no service in the middle of no where. We tried calling the rental car company and tried calling for help but there was no connection. 

My friends and I decided to walk back about 4 miles to where we saw a gas station to call for help. About an hour later we were at the gas station but there was no one there, and we still had no phone service. We decided to stay at the gas station for some time hoping that someone would show up. 

4 hours later with no service and still waiting for help we decided to walk back to the car. 30 minutes after walking towards the car we saw a huge van start to head towards us, we jumped up and down for help and the van stopped and a musician who was playing at the same venue we were going to got out the van with his security. 

My friends and I explained the situation and they gave us a ride to the venue and backstage passes it was amazing. Before we got to the venue we were able to call the rental car company and they tracked the car to pick it up and return it to us. 

The celebrity and my friends and i ended up hanging out all weekend, and becoming great friends. My friends and I were shocked and it was considered the best weekend ever.",2,2
1,1,"Last March I went to a tax accountant. I needed to file amended returns for the Patreon income from four previous years. I'd been under the impression since I set up my Patreon account that it was gift income, and therefore non-taxable. But gradually it became my primary source of income and I shifted to self-employment as a freelance writer. And the more I looked into it the more I began to suspect it was taxable after all. I feared getting into serious trouble. 

In July of last year I concluded that it was indeed taxable. So I made plans to see an accountant and file for back taxes. According to my research on Google the IRS was required to allow installment payments I could afford, but I was still quite apprehensive in the months leading up to the meeting. 

In March I met with the accountant, gave him documentation of the additional income, and paid him $400 for preparing four years' amended returns. This was considerably cheaper than my worst-case estimate, and was in itself a significant relief. And he confirmed my information about making installment payments. 

In the months since, the IRS sent me a bill for back taxes and I arranged a modest $64/month installment payment. I also subtract 15% self-employment tax. It's a total tax burden I'm able to bear relatively easily, and a great load off my mind.",2,2
2,100,"Full disclosure: I'm an alumni and these things occurred years ago, but I wanted to share nonetheless. I was pretty successful in college- good grades, good research, etc.- but because of that, I always felt like... I had no right to be sad. 

In college, we're of the age where our parents are starting to get sick- cancer, Huntington's, and other diseases. But even after finding out about stuff like that, I found it so hard to feel sad and share with anyone. 

Any time I was able to summon the courage to talk to a friend, they would be struggling with psets and exams and... I never felt right adding on to their struggles with my own. As ridiculous as it sounds, I could just imagine people looking at me and thinking, """"I have a crisis over here and you're doing so well, why the hell do you look sad"""". 

I learned to suppress my emotions so well that eventually I could no longer feel unless I was under some kind of influence. Fast forward through some really bad incidents with substances and I finally found the courage to get help. 

I know some people have had very bad experiences with mental health services so maybe I was just lucky. All I can say is, I'm sure other current students feel this way. And people always remark about how surprised they are that so and so was depressed. But getting help is definitely worth a try. 

And if your friends are really friends at all, it won't matter if they are also having a bad time. You guys can always have bad times together.",3,3
3,1002,"I'm an Assistant Professor in Astronomy and I study the dynamic universe. So what I do is, with the beautiful telescopes here at Palomar Observatory, we have some robotic telescopes that are continuously making a movie of the night sky. So we image the sky over and over again and we look for what changed. You might go out there and think the universe is the same old thing every time, but it's actually not. It's full of these little explosions, which last for a very short amount of time, so they're very energetic. It's like cosmic fireworks lighting up our sky. 

It was not at all clear that one day I would do a PhD. I grew up on a farm in India with 100 cows and fields of weeds and chick peas. And I had left home when I was 15, and I was a girl in India in a small place. The entire community was up in arms. There were people like neighbors, relatives, you name it. People I haven't even seen before coming into the house and trying to talk my parents out of this crazy decision to send their daughter alone on this journey into the other end of the world to pursue something called Astronomy or whatever that was. The community was completely unsupportive. 

In my case, the best way to deal with it was to just let that fade away in the background and not engage with it directly, but focus on what is motivating me, on what is giving me joy and just let everything else just fade away in the background.",3,3
4,1003,"All I wanted to do when I grew up was live at the beach. That's what drove me. I just wanna live at the beach when I grow up. I ended up getting two degrees. First degree I got in psychology, which I don't do a whole lot with now. But when I went through school, there was a lot of writing involved and a lot of communication, and I think that's helped me now. 

But I wasn't really passionate about that. I kinda went through the motions a little bit in school, that first time around. I loved being in college. I loved hanging with my friends. I loved playing sports, but I was never really all that enthusiastic about my curriculum at that point. 

A lot of times when I should have been studying for midterms or something like that, I was trying to figure out what the waves are doing, and why they worked. In the end, I ended up going back to school for meteorology. It was really rewarding, because I loved what I was doing, and I wanted to study , and I looked forward to it. 

And that was different than when I was 20. At a certain point, life takes over, and you have to get a job and figure out what it is you're gonna do. But you don't necessarily have to figure out what you're going to do for the rest of your life at 20.",2,2
5,1006,"When I started, I didn't know that I wanted to be in pharma. I love the industry for what it can do. I actually hated how they got it done. I didn't love the formula of the business practices in pharma, which is why I started my own. But the truth is, along the path, I was in an industry that was mostly male-dominated. If I looked up in the organization, nobody looked like me. There wasn't a lot of female leadership, there still isn't today. 

So my best way to make change is to be a leader in the industry. When I was on the path with Addyi, people called it the little pink pill. And they would say, aww, the little pink pill. And isn't that cute? When I realized that there was so much dismissiveness underneath it, I started showing up in blazing hot pink. 

It's the gender stereotype. Instead of coming back from it, I'm going straight for it, so we can talk about it. I think if you feel like you don't fit in the system, the way to make your way into it is to surprise people and continue to show up. Never let that underestimation shake your confidence in what you're set out to do.",2,2
6,1007,"So I went to college on a scholarship. And my whole world at that time was really focused around the Olympics. I wanted to be on the Olympic team. I majored in marketing and business management during my college because I knew that I would have to do something beyond it, but what it was going to be, I had no idea. I really didn't have a clue. 

And then while my wife was working on Jurassic Park -- she was doubling the little girl in Jurassic Park -- Cirque du Soleil was in Santa Monica. They had an audition going on at the pier. And she went and they wanted her, and they were looking for a guy that had trampoline background and I sent my video tape of some shows that I had done, the diving and trampoline shows combined, and they liked it. 

And so they invited us to join Cirque du Soleil. I guess the only advice then, from that, that I can look back and say that I tried to do was to have a passion for what I was doing. Regardless of whether you know exactly what it's gonna be or not, if what you do is your passion, it never feels like a job.",2,2
7,1011,"I come from a large family, and my mother had to drop out of school at an early age and start a family. There were seven of us. I think that reality hit us a lot earlier. When I was a kid, I was young, but the The Watts Riots happened. I remember just watching our neighborhood on fire. We would turn on the news at night and we would see our neighborhood and commentators talking about it. 

It's almost like not your whole childhood is gone, but a big piece of it is and it's called the innocence. Once the innocence is gone it's like welcome to the real world. 

Going on to college and getting college degrees and advanced degrees, I never stopped and thought about my circumstance being any excuse for why I wasn't supposed to do those things. You may not be clear in your purpose now. Don't let it be determined by anybody else's clock. 

Somewhere in your journeys, discover who you really are. Not who your mother, your father said you were. Not who your community said you were. Not who this country tried to say that you were, as a woman, or as poor, or as Latino, or African-American. As who you discover you really are. This can only come about as a result of process, this journey.",3,3
8,1012,"I wanted to make wine. And I found this guy who helped me and he was a great master of wine. And so I went out where the winery is right now and I was just looking around and there's a flat spot, and I built the whole winery around where someone would stand at the tasting bar and look out the window and see Bridge Creek Wall, which is the highest rock wall in Icicle Canyon. 

It took about ten years to build that winery. It took four years to lay the stone on it. Just walk out in the yard here and pick up stone. We did that for four years and laid it up on that building. 

I was poor. When you're poor, you do stuff yourself. And now you know I'm making 100 barrels a year and living on 25 acres of property out in the middle of nowhere. We're four miles off the power grid. 

You need to make the first step. It's like going for a run, you gotta get your shoes on. You gonna get out and there start doing it, don't be afraid to make mistakes. You just gonna start doing what you wanna do.",2,2
9,1018,"I am the marketing director here at Valen Analytics. Our company builds predictive models and we also have a platform that hosts them that integrates into the company workflows for property and casualty companies. So the predictive models basically allow them to better price and select risks, so yeah, I do the execution of the marketing campaigns and the coordination with inside sales. 

So I graduated, and then I worked in the mental health industry for a while. And decided that that was not good for my own mental health, it was very stressful, very taxing. So I went to went back to school, got my masters in marketing, I thought that I was gonna be able to graduate and step right into a marketing job but there was a lot more business acumen that needed to be developed before I was really prepared for that. 

I had to be humbled and grounded a bit more to realize, yeah, you have a foundation. But that foundation, the degree is not your golden ticket into the chocolate factory. The degree is what may help open the door but you've got to earn your way the rest of the way. 

So the way I interpreted that is, I need to make sure that I'm really putting forward the solid performance at what I'm doing now and then set forth my next goal.",2,2
10,1021,"My family loves and admires my talent for art. When I wanted to go to college, I wanted to move to Philadelphia to go to art school. No one was really supportive of that, except my mother. They thought it was too far away and too expensive. They thought I was a great artist, but they thought I should do something more reasonable and stay in Oklahoma. 

I think the rest of my family has come around now, but in the beginning, they weren't very supportive of that. I think how my art allows me to exercise my purpose and affect the world is something I'm still figuring out. Not just what type of artist do I want to be, but what type of woman do I wanna be. 

Because when I was younger, when I was in college, it was like I want to change the world. I wanna be this huge artist. I want to change people's lives. I want to change the world, which is a really grand idea. 

I think that's possible, but I think you have to start with yourself as corny as that sounds. You don't just change the world, you change yourself or your friends, your circle. You influence these people and you inspire these people and if more people did that, we'd all have a better understanding of what other people go through.",2,2
11,1035,"Sophomore year was that critical year where everything kind of just hit me that you really have to take ownership of this education thing. The investment you're making in time and money has a lot of risk or potential to be wasted. And I didn't have the good fortune of something being given to me on the back end in terms of a family business or something I could fall back on. I really had to make something happen in school. That wasn't very clear to me, that freshman, first part of sophomore year. 

But the sophomore year came to a close. I started to get my act together a little bit and find that direction. It's really about being drawn to the next adventure in career or life. Some of the most impactful job changes weren't necessarily going to the next higher level of responsibility, but really more what people might consider lateral moves. Those lateral moves really had an impact on expanding my breadth of experience, my understanding. 

When you're not driven just by the financial rewards, but you're driven by the broader set of rewards, how it makes you feel inside, how you can impact people around you. I feel those are the things that really start to hit home in terms of making the right choices. I think we all have to find that path for ourselves, though.",2,2
12,1036,"I went to community college. I didn't really know what I wanted to do at that point, couldn't figure it out. I had a lot of things on my mind, pressures from family wanting me to go into med school. 

Finally I decided to take one more step, go out of community college, and enter university. I applied for University of Manila, got in, and went straight into my bachelor's degree for mechanical engineering. It took me about seven years, mainly because although I wanted to go into mechanical engineering, I got to that point where, I actually still didn't know whether I wanted to continue pursuing that degree. I was always pushed towards going to medical school. I wanted to move the opposite way. 

I went more towards technology, and towards the mechanical aspects of it. Engineering is vast and diverse. I could've gone into any field, civil, mechanical, electrical, systems. I chose mechanical because I like to be hands on, I liked things that move. 

Find the time to explore, to get to know yourself. I think that was the best thing for me to finally decide this is the career path that I want. I doubted myself throughout my entire college career whether or not I wanted to continue this. It wasn't until I got out of it and actually took time to myself to figure out to see this is actually where I wanna go.",2,2
13,1038,"I started out as a graphic designer. So I went to college studying graphic design and journalism. And once I graduated, I did the whole traditional job thing. I worked at radio stations and advertising firms and I was laid off from one of my positions. 

And I'm like, crap, what do I do now? So I had this idea to do a pop-up store where we would have a rotating collection of local artists and designers come in and install something for a month. And then switch out and then another artist will come in and do something. 

There was a contest where you go in and you present your idea and you walk away with small money, and that's what I did. I presented it and I won the best creative idea. And I used that seed money to open up the little pop-up shop. 

You just have to push yourself a little bit harder, but in the end it paid off. And obviously I don't win things all the time. I lose more than I win, but it only takes that one time to win where I'm like yes, this was so worth it. So, just don't waste any opportunities.",2,2
14,1040,"I was very blessed to have some really good surroundings around me. Obviously being in Chicago there were some negative things as well. I was never a perfect kid, but I had to learn my rights and wrongs and learn from some of the bumps and bruises I had along the way. I realize that getting in trouble wasn't the way that I enjoyed it because that took me away from the things I wanted to do. Playing sports, being with my friends, all those different things that brought joy for me. 

I ended up going to college at the University of Illinois at Chicago. That's what helped shape me to where I am today. The cool thing about going to the college setting is you get to pick what you wanna study. Understanding the different things that you like and saying okay, how can I learn about that because I am passionate about it. I wanna learn about this, even though the class might be difficult. 

The more I'm able to retain and understand, the more joy I'm gonna be able to get out of that, so figure out what that is because that's gonna be different for you everyone.",2,2
