,STORY_ID,PROLIFIC_PID,Empathy_Reasons
2,455,653a65392f6d9cacf3d12a26,
3,77,5f3020f06e1b570b4e6107fa,
4,819,54cb913dfdf99b56211ae2dc,
5,1326,62712d1c0b71829386d60eb4,
6,458,60f20aac9a3cd813c94175b4,
7,1873,61528277afcb4906d01e0442,
8,1411,60455b1578f6f36a3e8ea81c,
9,1556,5bedad72ecd1a90001a09c02,
10,813,63d69163ecd60f16ced6c9c4,
11,1810,57db358d631235000138ab6f,
12,104,633f77fe4105c3fcc1a40819,
13,59,633f77fe4105c3fcc1a40819,"1,2,3,4,5,6,7,8,9,10,11,12,13"
14,55,633f77fe4105c3fcc1a40819,"2,5"
15,209,656de485308c79d6cd40d321,"2,3,6,7,9,12,13"
16,272,5f2da8c96e40b00b1ab970b1,"7,9,11,13"
17,92,612d3e13048ec2b299126be6,"2,3,6,7,9,12"
18,57,5cc5b34662c5050017348192,"3,7,12"
19,100,5e432ceb394cd51c528ba4f0,"1,2,4,5,11,12"
20,133,5be1aac8ca095c0001b9f6e4,"1,3,5"
21,235,657603d32a51f2f39285d161,"2,9,10,11,12"
22,258,63d84783f7fe723209b60108,"7,8,9,10,11,12"
23,1,64138e0c6645b537dcb5ee24,"7,11,12,13"
24,52,5a6b98b03fb6420001c2f950,"4,6,9,12"
25,51,61644fe8ba697988f2136db9,"3,8,12"
26,99,63bd9a90d634fa1afd33b430,"9,10,13"
27,246,60383995960cdb1d96d9f511,"2,4,8,13"
28,220,63d3ff3b4b88dea688e34412,"4,10,11,12"
29,128,5f1afac4a6090e27181f302d,"4,9"
30,179,5bc1f23763221a00019fe607,"2,10"
31,260,5e2aa7df61f1670f7362bd62,"2,7,9,12"
32,284,57b8e70f35624400013d690c,"1,3,9,11"
33,137,5ea08689069d5305f6380c77,"4,7,8,11"
34,63,6072f19c492eb36c76252b34,"3,4,6,11,12,13"
35,77,644bfef77d2220b964ca0c30,"3,9"
36,92,63d7faea5fc2f437216b9259,"3,10,12"
37,5,5c2d1ffb1a241f0001870c2f,"9,12"
38,14,56ce2b1309734d000d439301,6
39,140,5b9f707da0e8f30001a17cba,"2,3,4,9,10,12,13"
40,162,617436710567e368c66b0761,"7,8,9,12"
41,217,5e88b403b7d189530ed1643f,"4,7,9,10,11,12"
42,124,5cd86c0731d19f0001425a89,"3,8,9,13"
